epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.92,86.84,94.74,89.37,87.76,26.14
1,0.98,93.34,99.60,95.87,95.08,26.14
2,0.98,41.00,96.02,82.53,94.58,26.14
3,0.83,51.00,95.94,87.22,93.04,26.14
4,0.78,18.00,93.84,72.98,90.50,26.14
5,0.86,12.62,96.76,73.62,93.20,26.14
6,0.91,91.58,105.74,95.64,94.74,26.14
7,2.57,104.90,483.36,159.56,105.74,26.14
8,3.72,169.50,484.60,427.44,463.66,26.14
9,4.32,465.90,489.74,475.85,473.22,26.14
10,3.97,453.10,480.08,470.06,470.60,26.47
11,3.70,163.00,481.40,422.62,460.56,26.47
12,4.14,174.50,489.14,421.96,474.98,26.47
13,4.40,472.00,489.74,478.84,475.36,26.47
14,4.28,468.08,493.48,476.94,474.64,26.47
15,3.37,14.70,482.74,359.06,466.02,26.47
16,4.07,473.06,491.12,484.67,485.50,26.47
17,4.14,456.94,500.00,483.18,483.88,26.47
