modelNumber,bestFitness,epochsToSolution,trainingMinutes
0,500.00,823,3.20
1,500.00,11622,88.86
2,500.00,1393,6.90
3,500.00,109,2.08
4,464.72,-1,164.59
5,500.00,1551,10.23
6,500.00,205,1.71
7,500.00,111,1.13
8,500.00,177,5.31
9,500.00,103,1.72
10,500.00,85,2.36
11,500.00,760,12.43
12,500.00,355,6.70
13,500.00,1310,41.95
14,500.00,2454,44.46
15,500.00,982,15.07
16,500.00,352,4.77
17,500.00,1170,26.96
18,500.00,393,21.04
19,500.00,72,5.55
20,500.00,194,19.25
21,500.00,338,9.32
22,500.00,1234,40.14
23,500.00,17,0.86
24,500.00,148,1.03
25,500.00,484,47.90
26,500.00,175,8.49
27,500.00,320,8.67
28,500.00,393,16.22
29,500.00,200,16.83
30,500.00,650,24.69
31,500.00,180,17.26
32,500.00,107,4.87
33,500.00,285,17.42
34,500.00,93,5.09
35,500.00,219,31.36
36,500.00,263,21.58
37,500.00,239,11.75
38,500.00,339,29.52
39,500.00,64,6.52
40,500.00,142,1.74
41,500.00,371,4.62
42,500.00,193,5.26
43,500.00,925,10.09
44,500.00,2550,24.50
45,500.00,542,7.71
46,500.00,519,5.52
47,500.00,498,7.58
48,500.00,311,1.65
49,500.00,486,8.30
50,500.00,1777,52.58
51,500.00,565,11.39
52,500.00,302,9.78
53,500.00,286,8.10
54,500.00,110,2.53
55,500.00,72,0.56
56,500.00,1230,35.04
57,500.00,76,1.59
58,500.00,509,38.72
59,500.00,290,6.61
60,500.00,230,3.70
61,500.00,422,11.79
62,500.00,512,14.24
63,500.00,409,10.02
64,500.00,629,37.80
65,500.00,80,1.62
66,500.00,318,13.32
67,500.00,230,7.44
68,500.00,35,2.13
69,500.00,495,6.90
70,500.00,344,19.69
71,500.00,152,5.17
72,500.00,622,22.93
73,500.00,293,3.23
74,500.00,73,1.68
75,500.00,63,2.10
76,500.00,702,12.51
77,500.00,680,12.11
78,500.00,70,2.14
79,500.00,615,13.55
80,500.00,194,2.16
81,500.00,530,32.48
82,500.00,6568,443.52
83,500.00,67,1.31
84,500.00,279,6.55
85,500.00,203,4.93
86,500.00,191,7.83
87,500.00,341,9.17
88,500.00,231,4.96
89,500.00,331,11.96
90,500.00,276,7.13
91,500.00,221,3.95
92,500.00,128,6.94
93,500.00,430,13.62
94,500.00,69,3.79
95,500.00,109,6.46
96,500.00,923,33.42
97,500.00,383,10.45
98,500.00,861,112.90
99,500.00,141,9.59
100,500.00,275,4.53
101,500.00,261,21.10
102,500.00,174,5.12
103,500.00,244,5.02
104,500.00,136,2.30
105,500.00,628,23.77
106,500.00,104,4.49
107,500.00,255,3.74
108,500.00,2792,58.52
109,500.00,53,2.05
110,500.00,438,10.75
111,500.00,369,15.09
112,500.00,225,6.35
113,500.00,181,5.44
114,500.00,275,18.71
115,500.00,55,2.01
116,500.00,41,1.17
117,500.00,561,26.62
118,500.00,439,7.64
119,500.00,102,4.80
120,500.00,935,77.78
121,500.00,446,55.35
122,500.00,76,1.40
123,500.00,733,45.52
124,500.00,653,30.10
125,500.00,442,16.34
126,500.00,634,52.57
127,500.00,45,2.55
128,500.00,107,2.91
129,500.00,372,12.58
130,500.00,191,9.73
131,500.00,464,11.78
132,500.00,109,5.35
133,500.00,227,7.12
134,500.00,158,2.55
135,500.00,706,76.63
136,500.00,241,5.81
137,500.00,67,1.31
138,500.00,95,3.76
139,500.00,271,22.95
140,500.00,71,11.29
141,500.00,28,0.63
142,500.00,605,42.53
143,500.00,486,20.01
144,500.00,428,20.18
145,500.00,19,0.55
146,500.00,1934,206.47
147,500.00,62,4.75
148,500.00,179,4.78
149,500.00,326,17.85
150,500.00,426,37.76
151,500.00,173,5.59
152,500.00,411,24.19
153,500.00,111,7.54
154,500.00,461,19.47
155,500.00,367,13.08
156,500.00,300,23.62
157,500.00,38,1.59
158,500.00,842,90.48
159,500.00,305,36.80
160,500.00,374,12.65
161,500.00,75,5.91
162,500.00,498,75.29
163,500.00,157,7.34
164,500.00,1168,121.02
165,500.00,75,10.91
166,500.00,117,2.06
167,500.00,361,48.39
168,500.00,637,92.58
169,500.00,515,33.67
170,500.00,312,15.54
171,500.00,740,74.50
172,500.00,258,21.94
173,500.00,435,20.93
174,500.00,712,33.64
175,500.00,564,32.68
176,500.00,1453,110.36
177,500.00,10,1.25
178,500.00,206,19.52
179,500.00,1209,145.31
