modelNumber,bestFitness,epochsToSolution,trainingMinutes,initialPercentageNodesUsed,finalPercentageNodesUsed,minInputs,maxInputs
0,500.0,823,3.2,17.32,2.61,2,2
1,500.0,11622,88.86,5.23,3.92,2,2
2,500.0,1393,6.9,15.69,1.96,2,2
3,500.0,109,2.08,12.09,10.78,2,2
4,464.72,-1,164.59,16.01,3.59,2,2
5,500.0,1551,10.23,22.22,16.99,3,3
6,500.0,205,1.71,16.67,8.5,3,3
7,500.0,111,1.13,15.36,9.8,3,3
8,500.0,177,5.31,28.76,28.76,3,3
9,500.0,103,1.72,24.18,21.57,3,3
10,500.0,85,2.36,27.78,27.78,4,4
11,500.0,760,12.43,28.76,45.42,4,4
12,500.0,355,6.7,35.62,11.76,4,4
13,500.0,1310,41.95,29.41,27.12,4,4
14,500.0,2454,44.46,27.45,19.28,4,4
15,500.0,982,15.07,37.91,38.24,5,5
16,500.0,352,4.77,23.86,25.82,5,5
17,500.0,1170,26.96,43.14,40.85,5,5
18,500.0,393,21.04,17.65,48.69,5,5
19,500.0,72,5.55,43.46,43.46,5,5
20,500.0,194,19.25,44.44,45.75,6,6
21,500.0,338,9.32,25.49,44.44,6,6
22,500.0,1234,40.14,52.94,48.04,6,6
23,500.0,17,0.86,26.14,26.47,6,6
24,500.0,148,1.03,36.6,11.11,6,6
25,500.0,484,47.9,57.52,46.41,7,7
26,500.0,175,8.49,30.72,31.37,7,7
27,500.0,320,8.67,21.9,20.59,7,7
28,500.0,393,16.22,55.88,53.27,7,7
29,500.0,200,16.83,50.33,50.98,7,7
30,500.0,650,24.69,57.84,61.44,8,8
31,500.0,180,17.26,20.92,48.69,8,8
32,500.0,107,4.87,19.93,20.26,8,8
33,500.0,285,17.42,17.32,50.33,8,8
34,500.0,93,5.09,35.29,35.62,8,8
35,500.0,219,31.36,56.86,59.48,9,9
36,500.0,263,21.58,67.32,65.03,9,9
37,500.0,239,11.75,20.92,21.9,9,9
38,500.0,339,29.52,49.02,48.37,9,9
39,500.0,64,6.52,56.54,56.54,9,9
40,500.0,142,1.74,8.5,11.44,2,3
41,500.0,371,4.62,18.63,6.54,2,3
42,500.0,193,5.26,21.57,17.97,2,3
43,500.0,925,10.09,15.03,5.88,2,3
44,500.0,2550,24.5,17.65,10.78,2,3
45,500.0,542,7.71,28.1,17.65,2,4
46,500.0,519,5.52,9.15,13.73,2,4
47,500.0,498,7.58,17.65,20.26,2,4
48,500.0,311,1.65,4.9,7.52,2,4
49,500.0,486,8.3,11.44,22.88,2,4
50,500.0,1777,52.58,23.2,31.05,2,5
51,500.0,565,11.39,22.88,8.82,2,5
52,500.0,302,9.78,12.75,19.28,2,5
53,500.0,286,8.1,42.48,19.93,2,5
54,500.0,110,2.53,22.22,25.16,2,5
55,500.0,72,0.56,45.42,17.32,2,6
56,500.0,1230,35.04,34.64,31.05,2,6
57,500.0,76,1.59,29.08,24.18,2,6
58,500.0,509,38.72,22.22,33.66,2,6
59,500.0,290,6.61,24.18,25.49,2,6
60,500.0,230,3.7,23.53,23.86,2,7
61,500.0,422,11.79,22.88,36.93,2,7
62,500.0,512,14.24,38.56,32.03,2,7
