epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.38,-146.14,-123.74,-136.23,-136.78,17.95
1,0.37,-134.85,-128.77,-132.36,-132.07,18.59
2,0.36,-142.24,-123.03,-134.81,-137.13,18.59
3,0.38,-146.64,-123.20,-132.00,-131.03,18.59
4,0.40,-143.66,-130.85,-134.54,-133.18,16.67
5,0.37,-140.45,-133.38,-136.93,-137.20,16.67
6,0.35,-139.14,-128.82,-133.83,-131.27,16.35
7,0.36,-141.41,-130.09,-134.41,-132.88,16.35
8,0.36,-184.51,-133.65,-145.71,-141.39,16.35
9,0.37,-136.46,-129.38,-133.00,-133.07,16.35
10,0.39,-566.72,-128.26,-198.38,-137.80,16.35
11,0.35,-140.20,-125.51,-134.11,-134.40,16.35
12,0.37,-139.43,-123.65,-133.95,-135.25,16.35
13,0.35,-141.01,-121.99,-132.54,-134.33,16.35
14,0.36,-145.98,-128.16,-136.27,-134.69,16.35
15,0.39,-545.27,-130.27,-193.05,-130.67,16.03
16,0.36,-142.16,-129.25,-135.34,-134.55,16.03
17,0.35,-139.12,-126.41,-132.94,-133.57,16.03
18,0.36,-136.15,-122.24,-130.57,-132.20,16.03
19,0.40,-604.16,-130.60,-203.09,-136.84,16.03
20,0.35,-144.77,-124.30,-134.92,-134.10,16.03
21,0.35,-146.31,-132.23,-137.41,-135.30,16.03
22,0.34,-137.98,-125.31,-134.34,-135.90,16.03
23,0.38,-144.31,-127.22,-135.64,-135.64,16.03
24,0.36,-144.26,-126.83,-133.52,-132.13,16.03
25,0.63,-852.09,-131.64,-298.85,-135.66,14.74
26,0.33,-142.50,-128.33,-134.32,-133.34,14.74
27,0.40,-554.21,-131.37,-196.24,-138.08,14.74
28,0.34,-141.64,-125.09,-130.55,-128.66,14.74
29,0.32,-139.35,-124.83,-131.54,-132.48,14.74
30,0.33,-137.08,-120.79,-129.29,-128.60,14.74
31,0.35,-563.75,-132.19,-196.11,-134.56,14.74
32,0.35,-145.46,-133.43,-137.39,-136.42,14.74
33,0.41,-556.43,-131.16,-196.74,-138.45,14.74
34,0.32,-141.15,-129.62,-134.05,-133.70,14.74
35,0.33,-142.36,-128.24,-133.66,-132.84,14.74
36,0.34,-138.26,-119.87,-131.44,-132.75,14.74
37,0.36,-568.89,-134.70,-200.78,-138.68,14.74
38,0.33,-146.69,-129.44,-136.57,-138.31,14.74
39,0.34,-137.98,-131.84,-134.81,-134.92,14.74
40,0.34,-135.76,-126.73,-130.80,-128.84,14.74
41,0.34,-142.42,-126.49,-137.40,-137.93,14.74
42,0.34,-139.55,-124.35,-132.82,-132.19,14.42
43,0.32,-140.24,-125.94,-134.38,-134.05,14.10
44,0.33,-138.59,-129.82,-133.96,-133.34,13.78
45,0.31,-142.78,-124.73,-134.06,-133.54,13.78
46,0.33,-137.80,-122.96,-130.84,-129.47,13.78
47,0.32,-138.13,-130.99,-134.77,-135.60,13.78
48,0.32,-145.70,-127.68,-134.98,-131.42,13.78
49,0.33,-144.08,-129.80,-137.15,-138.01,13.78
50,0.32,-138.52,-130.58,-133.95,-133.28,13.46
51,0.72,-1030.88,-126.86,-262.34,-135.62,13.46
52,0.31,-144.07,-132.93,-136.87,-136.26,13.46
