modelNumber,bestFitness,epochsToSolution,trainingMinutes,convertedEpochs
0,202.2,10733,1038.76,10733
1,-18.31,-1,217.45,20000
2,-31.1,-1,184.68,20000
3,96.28,-1,1649.64,20000
4,-18.05,-1,198.54,20000
5,200.86,8928,435.41,8928
6,200.47,6348,370.59,6348
7,205.14,14286,470.34,14286
8,-49.07,-1,219.13,20000
9,200.73,4022,87.76,4022
10,210.88,18542,681.9,18542
11,202.88,10366,211.45,10366
12,207.46,6682,412.68,6682
13,211.18,2963,303.88,2963
14,204.15,4796,418.89,4796
15,207.15,13049,1038.17,13049
16,-7.64,-1,964.31,20000
17,201.62,1471,263.05,1471
18,18.07,-1,1102.14,20000
19,202.04,5125,601.43,5125
20,201.67,7494,389.69,7494
21,200.04,772,178.81,772
22,220.15,5521,432.1,5521
23,202.53,8054,512.39,8054
24,200.26,7315,1201.15,7315
25,201.18,2420,150.51,2420
26,202.86,5346,477.23,5346
27,200.68,2233,573.07,2233
28,200.3,11239,869.58,11239
29,205.83,4466,490.9,4466
30,213.17,2072,600.06,2072
31,206.36,18967,1505.9,18967
32,207.47,10209,1311.45,10209
33,201.57,8630,875.05,8630
34,-2.85,-1,1085.87,20000
35,200.38,2538,212.3,2538
36,207.85,9303,728.97,9303
37,226.42,2576,305.08,2576
38,200.26,6194,800.29,6194
39,203.72,1539,127.73,1539
40,209.77,19731,335.9,19731
41,200.03,7961,257.68,7961
42,212.01,4219,184.59,4219
43,202.51,3545,260.85,3545
44,201.6,12703,151.32,12703
45,204.32,14333,666.18,14333
46,205.63,19285,1192.34,19285
47,207.85,5364,114.52,5364
48,200.17,5814,156.82,5814
49,200.02,6247,505.22,6247
50,202.5,18601,373.78,18601
51,210.4,17218,594.49,17218
52,219.22,3703,89.95,3703
53,-28.07,-1,596.48,20000
54,209.21,14322,315,14322
55,201.89,9624,580.75,9624
56,126.12,-1,867.48,20000
57,208.48,9005,706.53,9005
58,201.15,6440,213.92,6440
59,206.6,8074,355.34,8074
60,205.18,11673,401.46,11673
61,200.31,5676,446.52,5676
62,209.11,1134,194.05,1134
63,205.11,13666,847.2,13666
64,206.37,5069,422.21,5069
65,200.52,6461,488.52,6461
66,28.84,-1,1239.52,20000
67,209.32,7979,496.9,7979
68,206.62,15574,956.53,15574
69,203.08,10809,764.48,10809
70,200.11,2613,302.72,2613
71,200.04,7086,419.98,7086
72,203.14,7169,689.83,7169
73,223.37,18836,1124.53,18836
74,212.12,3386,111.22,3386
75,207.42,11526,522.37,11526
76,205.42,6376,557.15,6376
77,201.1,2405,247.38,2405
78,206.32,1791,111.35,1791
79,200.86,11363,500.72,11363
80,111.12,-1,530.41,20000
81,206.12,1511,142.42,1511
82,201.8,5509,511.42,5509
83,-16.02,-1,714.83,20000
84,204.62,7801,381.29,7801
85,217.1,2803,359.8,2803
86,202.68,12808,479.03,12808
87,206.08,2286,158.13,2286
88,205.72,6623,208.07,6623
89,202.68,14078,1002.4,14078
90,222.87,7174,608.05,7174
91,202.62,4409,364.81,4409
92,216.73,3614,217.34,3614
93,0.28,-1,920.18,20000
94,203.74,9275,361.82,9275
95,209.95,15106,629.16,15106
96,200.97,1798,153.04,1798
97,204.19,14412,653.03,14412
98,215.72,4523,1070.57,4523
99,205.67,7361,355.72,7361
100,208.25,2347,154.34,2347
101,204.74,6783,804.69,6783
102,202.59,4066,420.08,4066
103,-10.96,-1,1365.44,20000
104,12.77,-1,900,20000
105,201.22,3835,115.12,3835
106,202.93,9294,841.59,9294
107,200.07,6824,220.82,6824
108,201.65,4902,248.22,4902
109,200.5,19117,778.17,19117
110,202.05,2378,186.94,2378
111,200.09,6711,216.61,6711
112,200.44,9206,802.86,9206
113,204.63,9774,443.83,9774
114,205.09,13203,658.92,13203
115,208.7,3577,131.87,3577
116,200.68,6096,801.62,6096
117,206.93,7992,653.72,7992
118,207,2093,351.28,2093
119,201.05,9093,778.83,9093
120,167.02,-1,1604.49,20000
121,36.05,-1,2026.43,20000
122,202.81,5637,331.33,5637
123,3.51,-1,943.31,20000
124,202.03,6552,537.98,6552
125,207.52,7869,695.37,7869
126,200.53,14409,753.94,14409
127,200.81,2676,294.12,2676
128,200.46,2408,237.14,2408
129,200.87,5093,383.88,5093
130,203.29,6009,530.36,6009
131,205.28,13608,927.46,13608
132,200.9,11131,1076.12,11131
133,229.75,1763,274.09,1763
134,201.98,4352,385.29,4352
135,210.02,2596,82.91,2596
136,209.31,10836,616.4,10836
137,2.21,-1,1184.51,20000
138,203.14,1977,187.19,1977
139,200.62,13552,644.49,13552
140,204.74,5926,379.1,5926
141,208.48,4707,474.96,4707
142,202.34,9478,448.48,9478
143,203.85,9384,762.82,9384
144,200.04,9475,776.93,9475
145,216.06,14370,575.59,14370
146,201.34,8403,1342.12,8403
147,211.99,15881,1282,15881
148,218.82,11761,738.12,11761
149,200.66,1840,538.53,1840
150,205.06,4338,329.76,4338
151,203.38,6770,445.44,6770
152,204.57,6775,283.57,6775
153,200.9,13113,1251.23,13113
154,-13.11,-1,772.66,20000
155,209.73,8263,599.47,8263
156,206.3,5156,342.32,5156
157,103.38,-1,1520.73,20000
158,168.09,-1,1986.33,20000
159,212.04,4212,420.62,4212
160,202.42,1154,194.68,1154
161,209.47,11199,844.45,11199
162,202.13,3124,292.51,3124
163,201.76,7221,675.65,7221
164,204.4,7864,630.19,7864
165,209.05,4351,267.97,4351
166,204.32,2821,583.21,2821
167,202.21,11980,1965.96,11980
168,206.7,7956,606.17,7956
169,202.51,12911,925.05,12911
170,209.9,9889,869.35,9889
171,200.04,4956,749.08,4956
172,206.46,6147,661.2,6147
173,205.89,996,59.27,996
174,211.25,8186,504.26,8186
175,202.12,17615,1477.83,17615
176,16.78,-1,1565.76,20000
177,201.5,12291,1987.92,12291
178,38.32,-1,1730.25,20000
179,200.67,12074,1660.89,12074
