modelNumber,bestFitness,epochsToSolution,trainingMinutes,convertedEpochs,initialPercentageNodesUsed,finalPercentageNodesUsed,minInputs,maxInputs
0,202.2,10733,1038.76,10733,16.99,5.45,2,2
1,-18.31,-1,217.45,20000,17.63,5.13,2,2
2,-31.1,-1,184.68,20000,17.95,6.41,2,2
3,96.28,-1,1649.64,20000,13.14,4.49,2,2
4,-18.05,-1,198.54,20000,16.67,5.13,2,2
5,200.86,8928,435.41,8928,21.79,22.12,3,3
6,200.47,6348,370.59,6348,23.72,12.82,3,3
7,205.14,14286,470.34,14286,23.72,17.63,3,3
8,-49.07,-1,219.13,20000,26.28,18.91,3,3
9,200.73,4022,87.76,4022,33.65,15.71,3,3
10,210.88,18542,681.9,18542,29.81,29.17,4,4
11,202.88,10366,211.45,10366,37.5,31.09,4,4
12,207.46,6682,412.68,6682,29.17,29.17,4,4
13,211.18,2963,303.88,2963,36.86,35.58,4,4
14,204.15,4796,418.89,4796,30.77,26.6,4,4
15,207.15,13049,1038.17,13049,29.81,38.78,5,5
16,-7.64,-1,964.31,20000,27.56,20.51,5,5
17,201.62,1471,263.05,1471,34.29,23.72,5,5
18,18.07,-1,1102.14,20000,29.81,31.41,5,5
19,202.04,5125,601.43,5125,49.68,24.68,5,5
20,201.67,7494,389.69,7494,49.36,48.4,6,6
21,200.04,772,178.81,772,59.94,40.06,6,6
22,220.15,5521,432.1,5521,27.56,44.23,6,6
23,202.53,8054,512.39,8054,64.42,32.37,6,6
24,200.26,7315,1201.15,7315,61.86,33.65,6,6
25,201.18,2420,150.51,2420,39.74,48.72,7,7
26,202.86,5346,477.23,5346,50.96,65.06,7,7
27,200.68,2233,573.07,2233,47.12,53.85,7,7
28,200.3,11239,869.58,11239,58.33,36.54,7,7
29,205.83,4466,490.9,4466,51.92,48.08,7,7
30,213.17,2072,600.06,2072,58.97,52.24,8,8
31,206.36,18967,1505.9,18967,59.62,32.05,8,8
32,207.47,10209,1311.45,10209,61.86,62.5,8,8
33,201.57,8630,875.05,8630,57.05,50.96,8,8
34,-2.85,-1,1085.87,20000,41.03,62.5,8,8
35,200.38,2538,212.3,2538,61.86,37.5,9,9
36,207.85,9303,728.97,9303,23.4,37.5,9,9
37,226.42,2576,305.08,2576,49.68,50.0,9,9
38,200.26,6194,800.29,6194,70.83,61.86,9,9
39,203.72,1539,127.73,1539,43.91,50.96,9,9
40,209.77,19731,335.9,19731,28.53,7.69,2,3
41,200.03,7961,257.68,7961,31.41,12.18,2,3
42,212.01,4219,184.59,4219,21.79,11.54,2,3
