modelNumber,bestFitness,epochsToSolution,trainingMinutes,convertedEpochs
0,-113.61,-1,84.75,20000
1,-102.85,3808,19.03,3808
2,-202.58,-1,102.82,20000
3,-116.72,-1,107.05,20000
4,-107.63,-1,121.47,20000
5,-177.02,-1,220.37,20000
6,-102.55,5008,66.43,5008
7,-102.98,5574,65.53,5574
8,-103.28,7360,99.7,7360
9,-96.2,13230,130.71,13230
10,-107.68,-1,379.66,20000
11,-102.62,5977,117.13,5977
12,-104.3,11017,224.06,11017
13,-97.34,4883,98.71,4883
14,-106.81,-1,308.65,20000
15,-99.31,9892,260.86,9892
16,-107.9,-1,517.51,20000
17,-100.31,4687,135.58,4687
18,-106.66,-1,397.18,20000
19,-104.63,10574,256.47,10574
20,-104.2,6559,242.4,6559
21,-104.93,8550,233.63,8550
22,-101.0,6451,220.57,6451
23,-107.95,-1,561.79,20000
24,-102.82,9900,269.96,9900
25,-104.78,5371,247.95,5371
26,-103.35,4890,221.27,4890
27,-109.72,-1,707.5,20000
28,-104.59,15643,541.22,15643
29,-104.44,3409,192.6,3409
30,-104.11,19581,1130.84,19581
31,-104.99,3734,179.38,3734
32,-104.87,9059,371.02,9059
33,-110.08,-1,776.39,20000
34,-104.03,14335,581.78,14335
35,-104.58,6820,453.77,6820
36,-102.32,785,54.26,785
37,-104.95,14052,685.07,14052
38,-112.0,-1,901.56,20000
39,-104.97,12531,580.77,12531
40,-106.8,-1,218.13,20000
41,-110.63,-1,203.63,20000
42,-99.74,13232,151.23,13232
43,-106.63,-1,197.56,20000
44,-102.75,13221,135.71,13221
45,-102.74,456,9.28,456
46,-98.48,3490,57.07,3490
47,-104.28,6962,109.8,6962
48,-97.38,9298,142.96,9298
49,-108.36,-1,265.15,20000
50,-98.8,5831,133.33,5831
51,-106.95,-1,350.56,20000
52,-102.91,8400,206.71,8400
53,-104.87,1083,31.79,1083
54,-99.96,2280,53.94,2280
55,-104.95,3029,117.35,3029
56,-104.96,4835,168.31,4835
57,-99.78,7214,206.95,7214
58,-104.94,8430,261.0,8430
59,-97.81,9792,214.01,9792
60,-97.58,10422,238.02,10422
61,-106.16,-1,379.64,20000
62,-108.11,-1,436.62,20000
63,-107.43,-1,478.59,20000
64,-111.93,-1,426.87,20000
65,-109.88,-1,465.64,20000
66,-97.49,19001,456.57,19001
67,-109.79,-1,605.94,20000
68,-101.44,11174,373.52,11174
69,-108.26,-1,507.23,20000
70,-108.64,-1,570.14,20000
71,-106.84,-1,524.57,20000
72,-110.62,-1,540.76,20000
73,-132.36,-1,668.47,20000
74,-101.37,8430,284.39,8430
75,-101.62,13543,216.35,13543
76,-104.93,2263,41.36,2263
77,-100.48,5608,80.55,5608
78,-104.98,5680,95.26,5680
79,-97.31,3233,62.65,3233
80,-107.56,-1,346.0,20000
81,-106.27,-1,424.15,20000
82,-107.7,-1,353.03,20000
83,-106.68,-1,366.19,20000
84,-109.03,-1,407.51,20000
85,-104.63,3272,84.76,3272
86,-108.25,-1,473.07,20000
87,-104.99,6184,141.59,6184
88,-98.96,4387,109.24,4387
89,-96.82,3837,117.64,3837
90,-100.45,6749,163.33,6749
91,-104.5,948,28.41,948
92,-97.18,7544,251.57,7544
93,-106.71,-1,432.37,20000
94,-106.8,-1,618.46,20000
95,-99.94,1260,40.54,1260
96,-107.66,-1,724.27,20000
97,-107.24,-1,503.84,20000
98,-104.95,901,33.66,901
99,-104.95,18694,624.07,18694
100,-104.96,2871,113.45,2871
101,-105.75,-1,772.86,20000
102,-103.07,3243,129.99,3243
103,-104.9,4245,165.55,4245
104,-104.98,8971,260.05,8971
105,-107.99,-1,382.19,20000
106,-104.89,1219,30.81,1219
107,-98.75,14129,238.91,14129
108,-102.26,2319,71.98,2319
109,-99.55,2188,67.77,2188
110,-109.82,-1,477.37,20000
111,-108.8,-1,425.73,20000
112,-104.98,5003,171.62,5003
113,-112.75,-1,565.36,20000
114,-104.98,16633,406.37,16633
115,-108.12,-1,475.6,20000
116,-104.98,2699,86.3,2699
117,-111.89,-1,564.51,20000
118,-104.78,7841,266.98,7841
119,-104.92,15924,523.71,15924
120,-103.74,15213,624.36,15213
121,-104.48,11126,357.63,11126
122,-104.99,5665,172.91,5665
123,-104.77,608,22.97,608
124,-109.74,-1,763.47,20000
125,-104.94,3347,109.79,3347
126,-104.96,10867,530.98,10867
127,-104.94,15509,667.65,15509
128,-107.32,-1,852.04,20000
129,-97.45,648,23.64,648
130,-104.98,17644,593.1,17644
131,-104.84,9119,344.95,9119
132,-104.94,2541,99.57,2541
133,-98.28,4409,155.48,4409
134,-109.83,-1,656.05,20000
135,-107.9,-1,836.25,20000
136,-130.18,-1,1076.18,20000
137,-131.98,-1,788.89,20000
138,-107.53,-1,479.9,20000
139,-104.96,3343,126.96,3343
140,-110.5,-1,744.49,20000
141,-107.17,-1,806.97,20000
142,-104.85,9792,454.39,9792
143,-107.83,-1,716.87,20000
144,-104.98,3965,184.6,3965
145,-104.91,7039,378.6,7039
146,-109.81,-1,741.6,20000
147,-107.65,-1,779.86,20000
148,-104.89,6729,333.07,6729
149,-112.59,-1,833.69,20000
150,-107.21,-1,775.74,20000
151,-108.88,-1,811.14,20000
152,-108.39,-1,777.5,20000
153,-104.93,9389,342.69,9389
154,-107.75,-1,750.18,20000
155,-104.97,7300,306.46,7300
156,-104.95,5105,237.57,5105
157,-104.64,3520,185.07,3520
158,-104.97,18065,844.74,18065
159,-106.38,-1,912.67,20000
160,-104.94,2902,121.0,2902
161,-104.73,7680,390.74,7680
162,-110.83,-1,903.15,20000
163,-110.3,-1,687.23,20000
164,-104.1,12633,647.0,12633
165,-104.97,7010,313.95,7010
166,-104.97,336,15.03,336
167,-104.94,3808,206.82,3808
168,-104.43,2420,120.17,2420
169,-100.0,7113,328.15,7113
170,-107.31,-1,819.7,20000
171,-103.69,6709,303.55,6709
172,-104.76,3743,193.95,3743
173,-107.33,-1,871.16,20000
174,-121.08,-1,951.79,20000
175,-104.41,4669,252.23,4669
176,-109.67,-1,1024.75,20000
177,-104.98,14292,869.71,14292
178,-104.95,5069,337.61,5069
179,-104.89,14229,691.94,14229
