modelNumber,bestFitness,epochsToSolution,trainingMinutes,convertedEpochs,initialPercentageNodesUsed,finalPercentageNodesUsed,minInputs,maxInputs
0,-113.61,-1,84.75,20000,24.92,3.28,2,2
1,-102.85,3808,19.03,3808,8.2,4.92,2,2
2,-202.58,-1,102.82,20000,13.44,7.21,2,2
3,-116.72,-1,107.05,20000,9.51,4.59,2,2
4,-107.63,-1,121.47,20000,15.41,5.25,2,2
5,-177.02,-1,220.37,20000,33.44,14.1,3,3
6,-102.55,5008,66.43,5008,14.1,19.67,3,3
7,-102.98,5574,65.53,5574,23.61,12.79,3,3
8,-103.28,7360,99.7,7360,11.48,6.56,3,3
9,-96.2,13230,130.71,13230,32.13,12.79,3,3
10,-107.68,-1,379.66,20000,38.36,31.15,4,4
11,-102.62,5977,117.13,5977,38.69,22.3,4,4
12,-104.3,11017,224.06,11017,19.02,22.62,4,4
13,-97.34,4883,98.71,4883,41.31,15.41,4,4
14,-106.81,-1,308.65,20000,27.87,39.67,4,4
15,-99.31,9892,260.86,9892,44.59,30.49,5,5
16,-107.9,-1,517.51,20000,10.82,37.05,5,5
17,-100.31,4687,135.58,4687,53.77,29.18,5,5
18,-106.66,-1,397.18,20000,54.75,25.57,5,5
19,-104.63,10574,256.47,10574,34.43,33.77,5,5
20,-104.2,6559,242.4,6559,31.15,48.2,6,6
21,-104.93,8550,233.63,8550,32.13,40.66,6,6
22,-101.0,6451,220.57,6451,52.46,41.97,6,6
23,-107.95,-1,561.79,20000,54.43,27.54,6,6
24,-102.82,9900,269.96,9900,23.61,26.23,6,6
25,-104.78,5371,247.95,5371,71.15,44.92,7,7
26,-103.35,4890,221.27,4890,42.95,21.64,7,7
27,-109.72,-1,707.5,20000,58.03,39.02,7,7
28,-104.59,15643,541.22,15643,44.59,27.21,7,7
29,-104.44,3409,192.6,3409,57.38,64.92,7,7
30,-104.11,19581,1130.84,19581,63.28,54.1,8,8
31,-104.99,3734,179.38,3734,59.67,50.49,8,8
32,-104.87,9059,371.02,9059,54.43,27.21,8,8
33,-110.08,-1,776.39,20000,49.84,40.98,8,8
34,-104.03,14335,581.78,14335,57.7,43.28,8,8
35,-104.58,6820,453.77,6820,20.66,68.85,9,9
36,-102.32,785,54.26,785,40.0,58.69,9,9
37,-104.95,14052,685.07,14052,60.66,45.9,9,9
38,-112.0,-1,901.56,20000,42.3,36.72,9,9
39,-104.97,12531,580.77,12531,64.59,50.49,9,9
40,-106.8,-1,218.13,20000,18.69,9.51,2,3
41,-110.63,-1,203.63,20000,19.02,10.49,2,3
42,-99.74,13232,151.23,13232,33.77,8.85,2,3
43,-106.63,-1,197.56,20000,28.52,9.18,2,3
44,-102.75,13221,135.71,13221,20.0,7.21,2,3
45,-102.74,456,9.28,456,32.46,23.61,2,4
46,-98.48,3490,57.07,3490,21.97,15.08,2,4
47,-104.28,6962,109.8,6962,17.38,9.18,2,4
48,-97.38,9298,142.96,9298,24.26,16.39,2,4
49,-108.36,-1,265.15,20000,30.16,17.05,2,4
50,-98.8,5831,133.33,5831,39.34,31.8,2,5
51,-106.95,-1,350.56,20000,14.43,9.84,2,5
52,-102.91,8400,206.71,8400,36.07,16.72,2,5
53,-104.87,1083,31.79,1083,31.15,17.38,2,5
54,-99.96,2280,53.94,2280,21.97,26.23,2,5
55,-104.95,3029,117.35,3029,23.28,41.64,2,6
56,-104.96,4835,168.31,4835,45.9,30.16,2,6
57,-99.78,7214,206.95,7214,23.93,12.79,2,6
58,-104.94,8430,261.0,8430,46.56,22.3,2,6
59,-97.81,9792,214.01,9792,39.34,14.43,2,6
60,-97.58,10422,238.02,10422,35.08,28.2,2,7
61,-106.16,-1,379.64,20000,37.38,22.3,2,7
62,-108.11,-1,436.62,20000,27.54,37.7,2,7
